#TAXONOMY	ID	no rank	superkingdom	clade	phylum	class	order	family	genus	species	strain	no rank2	clade2	clade3	subspecies	no rank3	species group	subphylum
NZ_JIAH01000003.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_CP035288.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMRF01000063.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_JIAH01000004.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_JACBZL010000001.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium tuberculostearicum	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMRF01000072.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000057.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000053.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_UFTA01000002.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus octavius	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMIV01000059.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus acridae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_QPLJ01000067.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia formosa	NA	NA	NA	NA	NA	NA	NA	NA	
